exp,kind,pred_idx,type,duration_s,status,matched_gt_idx,matched_gt_dh,pred_dh,pred_ci,pred_accepted,baro_dh
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,15,up,21.920103448275995,clean,13,24.6,44.97320540190683,3.9055735793346393,True,45.5174555732314
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,16,down,21.882103448275757,clean,14,-43.85,-44.83936464631213,3.8943936413509497,True,-45.00231359921111
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,17,down,10.059482758620561,clean,15,-14.55,-13.444870968633344,1.3644348576971115,True,-13.4492208639859
UriyaCohenEliya_beitMansour1_SamsungSM-A235F_15-04-2026_exp5,train,18,up,10.040482758620556,clean,16,12.9993,13.395630947175547,1.3937292330920081,True,14.400879687841247
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,0,up,28.575896551724213,clean,0,49.0667,49.55590972586168,4.445905937145544,True,50.41805898842999
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,1,down,7.789310344827527,clean,1,-7.479999999999997,-7.505310613965593,1.1616161260558169,True,-7.591896731252959
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,2,down,9.429103448275896,clean,2,-11.2143,-11.150724029733581,1.049134230417157,True,-11.140576530697189
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,3,down,5.569068965517317,clean,3,-3.7399999999999984,-3.7217834784844515,0.7864203490979422,True,-3.8130910352305705
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,4,down,7.44310344827602,clean,4,-7.48,-7.093958239458131,1.1461061696487282,True,-7.238211934857858
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,5,down,5.569068965517317,clean,5,-3.7399999999999984,-3.7245935907155356,0.7875093105694413,True,-3.6651198399186597
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,6,down,8.927103448275943,clean,6,-10.3703,-10.329806477017161,0.9682240674863235,True,-10.213210619805608
UriyaCohenEliya_beitYitzchakiRaanana_GooglePixel10_15-04-2026_exp6,test,7,down,6.529689655172433,clean,7,-5.3634,-5.5022892202008835,0.9764705985687983,True,-5.25049559529549
